,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Boiler Range,Part Gas Council number,By Model Number,Feature 1,Feature 2,Feature 3,Operating Temperature,Range,Warranty,Pack Quantity,Depth (mm),Fuel Type,Weight,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,For Use With,Body Material,Dimensions mm (H x W x D),Application,Feature 9,Voltage (V),Material,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Colour,Connection Type,Thickness,Size,Operating Temperature Range (C)
647,P444310,Ariston 61302483 motor 3 way valve,Ariston,73.4,"An Ariston motor designed for the 3-way diverter valve in Clas, Clas Premium, E-Combi, E-System, Genus, Egis, Matis, Minima, Aco and Combi A boilers.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston 61302483 motor 3 way valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/10/444310_wm.jpg,,,N,"HE SYSTEM EVO 24 EU, EVO 35, EVO SYSTEM 24 EU, EVO 30 FF EU, EVO 24 EU, HE 24, EVO SYSTEM 35 EU, NET 30 EU (HB), EVO 24 FF EU, Egis HE 24, HE 30, HE 38, Matis Condens 30 EU, HE 30 FF, HE SYSTEM EVO 30, EVO SYSTEM 24, EVO SYSTEM 35, NET 24 EU (HB), EVO 24",Diverter Valve,61302483-01,Motor,N,"Clas, Clas Premium, E-Combi, E-System, Genus, Egis, Matis, Minima, Aco, Combi A",,"HE SYSTEM EVO 24,Egis Prem,Egis HE 30,HE EVO 30 EU,24 FF,NET 30 EU (HB),EVO 35 EU,HE EVO 38 EU,EVO 38 FF EU,EVO L 30,EVO SYSTEM 18,38 FF,HE EVO 30,EVO SYSTEM 18 EU,EVO SYSTEM 35 EU,HE EVO 24 EU,HE 30,EVO 24 FF EU,EVO 24,HE EVO 38,Egis HE 24,HE 38,PLUS 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,P498444,Ferroli printed circuit board,Ferroli,305.2,"A genuine Ferroli printed circuit board for Optimax HE Plus boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/44/498444_wm.jpg,,,N,"25 OV, 18 S, 18 OV, 31 C, 35 S, 38 C",Control Panel,39821523,Printed Circuit Board,N,Optimax HE Plus,725272,"38 C,35 S,31 C,18 OV,25 OV,18 S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,P444323,Ariston Flow Detection Kit,Ariston,21.05,"A flow detection kit with magnet for Ariston microGenus HE, microGenus II and Aco boilers.  The kit varies in shape and size to create a kit that can be used to replace or service a whole section or just part of the boiler.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston Flow Detection Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/23/444323_wm.jpg,,,N,"28 MFFI, 32 MFFI, 31 MFFI, 35 MFFI, 24 MFFI",Hydraulics,65100540,Flow Detection Kit,N,"microGenus HE, microGenus II, Aco",,"24 MFFI,32 MFFI,28 MFFI,31 MFFI,35 MFFI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,P445119,Halstead spark generator unit,Halstead,79.66,"This Halstead spark generator is suitable for Club, Eden, Wickes Combi, WM Wilson, Dimplex and Ace boilers.  A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Halstead spark generator unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/19/445119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Halstead_Ace_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,P787255,Baxi main diaphragm,Baxi,12.41,"This Main diaphragm is designed for the diverter valve of Mersey boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Baxi main diaphragm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/55/787255_wm.jpg,,,N,Super,Diverter Valve,7672027,Diaphragm,N,Mersey,743261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,P445106,Halstead pressure relief valve,Halstead,67.39,"A Halstead spare, this pressure relief valve is suitable for use with Ace, Eden, WM Wilson, Wickes Combi and Club appliances.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Halstead pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/06/445106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Halstead_Eden_CBX_SBX_Installation_1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,P476598,Sime conversion kit with pump head,Sime,178.4,"Incorporating a pump head and fittings, this Sime conversion kit is for use in the pump unit of Ecomfort, Format and Ecomfort Plus appliances.  The pump moves heated water around a closed heating system and is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime conversion kit with pump head,,pump head and fitting kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/98/476598_wm.jpg,,,N,"25 HE, 80B, 35 HE, 25 HE + System, 100B, System 25 HE, 30 HE, 25 HE +",Pump,5192600,Conversion Kit,N,"Ecomfort, Format, Ecomfort Plus",,"30 HE,100B,25 HE + System,25 HE +,80B,System 25 HE,35 HE","Suitable for use with Ecomfot, Format and Ecomfort Plus appliances",Pump head and fitting kit only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,P422371,Ariston 340407 protech titanium electrode,Ariston,33.88,"This electrode is a Ariston brand spare part designed for the Contract, Tudor, Comfort Indirect and Protech ranges.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston 340407 protech titanium electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/71/422371_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Ariston_Contract_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,P416450,Viessmann radial fan,Viessmann,239.05,"This genuine Viessmann fan is a replacement part designed for use in Vitodens boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann radial fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/50/416450_wm.jpg,,,N,"100 WB1A Compact 18kW, 100 WB1A 24kW System, 100 WB1A 24kW Combi, 100 WB1A 30kW Combi, 100 WB1A Compact 24kW",Fan Combustion Chamber,7823839,Fan,N,Vitodens,,"100 WB1A - 30kw Combi,100 WB1A Compact 24kw,100 WB1A - 24kw Combi,100 WB1A Compact 18kw,100 WB1A - 24kw System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,P420170,Viessmann 7834234 ionisation electrode,Viessmann,44.01,"This Viessmann brand electrode is a replacement part for Vitodens boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann 7834234 ionisation electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/70/420170_wm.jpg,,,N,"200-W B2HB 30kW, 222-F B2TB 35kW, 200 WB2B 35kW System, 200 WB2B 35kW Combi, 200-W B2HB 26kW, 200 WB2B 30kW System, 200 WB2B 26kW Combi, 200-W B2HB 35kW, 200 WB2B 26kW System, 200 WB2B 30kW Combi, 222-F B2TB 26kW",Gas Assembly,7834234,Electrode,N,Vitodens,,"200 WB2B 26kW System,222-F B2TB 35kW,222-F B2TB 26kW,200-W B2HB 30kW,200 WB2B 35kW System,200 WB2B 30kW Combi,200 WB2B 35kW Combi,200 WB2B 30kW System,200 WB2B 26kW Combi,200-W B2HB 35kW,200-W B2HB 26kW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,P466392,Sime printed circuit board,Sime,308.69,"An official Sime part, this printed circuit board is suitable for use in Brava, Meridian and Comfort boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/92/466392_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sime_Meridian_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,P447264,Morco water control assembly,Morco,62.64,"A Morco water control assembly for boilers in the brand's D range.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Morco water control assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/64/447264_wm.jpg,,,N,"D61E, D61B",Hydraulics,FW0163,Water Control Assembly,N,D,,"D61E,D61B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,P445724,Johnson and Starley fan speed regulator,Johnson and Starley,236.27,"This Johnson and Starley fan speed regulator is a spare fan part for J15/22, J25/32, JT, JWD, J54/64, JA and JTRS units.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Johnson and Starley fan speed regulator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/24/445724_wm.jpg,,,N,"J15-22 MK3-MAF-JAN, J25-32 AIR HEATER, J25-32 JAN & J25-32 R-JAN REVERTED CAT 1, J25-32 MK3-JAN, J25-32 Mk3-MAF-ELJ, J25-32R MAF, J25-32R MK2-JAN AIR-WATER HEATER, J25-32R MK3-MAF Vl-SUPERJAN, J25-32R MK3-SUPERJAN, JT19-25 MK2-MAF Vl-SUPERJAN, JWD38-50-M",Fan Combustion Chamber,S00134,Fan Speed Regulator,N,"J15/22, J25/32, JT, JWD, J54/64, JA, JTRS",232845,"J15-22R MK3-MAF VI-JAN,J15-22R MAF-JAN,J15-22R Mk3-MAF-HIJ,J15-22 Mk3-MAF-HIJ,J15-22 Mk3-ELJ,J15-22,J15,J15-22R MK3,J15-22 Mk3-MAFVI-HIJ,J15-22 Mk3-HIJ,J15-22 MK3-MAF-JAN,J15-22R Mk3-ELJ,J15-22R MK3-MAF AIR HEATER,J15-22 MAF-JAN,J15-22 JAN,J15-22 MK3-MAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,P796743,Ferroli heat exchanger sensor,Ferroli,33.52,"This Ferroli sensor is designed for use in the control panel of Bluehelix, T-One and Modena HE units.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli heat exchanger sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/43/796743_wm.jpg,,,N,"Tech RRT 18S, 30 C HE, 32 S HE, Tech RRT 28C, 18 S HE, 38 C HE, 27 C HE, 25 C HE, 25 S HE, Tech RRT 24C, Tech RRT 24S, 25 C HE, 32 C HE, 18 S HE, 25 S HE, Tech RRT 30S, Tech RRT 34C, 30 C HE, 32 S HE",Control Panel,39845890,Sensor,N,"Bluehelix, T-One, Modena HE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,P463652,Biasi BI1182105 expansion vessel,Biasi,81.69,"This Biasi branded expansion vessel is for use in the Garda HE Plus, Riva Advance, Riva Compact HE and Riva Plus boiler ranges. A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Biasi BI1182105 expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/52/463652_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_M110_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,P438875,Ferroli sensor - 1k ptc domestic hot water / ch (wet),Ferroli,27.1,"This Ferroli sensor is a domestic hot water central heating device suitable for use in Combi, Optima, Talent, Hawk and Xignal boilers.  The sensor is employed to increase circuit resistance in line with temperature drops. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli sensor - 1k ptc domestic hot water / ch (wet),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/75/438875_wm.jpg,,,N,"77 FF/Popular, 200, 801, 201, 800, 1001, 601, 901, 77 FF, 1000, 701, 77 CF, 2000, 2001, 900, Talent, 76 FF, Hawk II, 700, 100 FF, CE",Control Panel,39800310,Sensor,N,"Combi, Optima, Talent, Hawk, Xignal",386818,"77 FF,76 FF,CE,77 CF,1000,2001,2000,Talent,77 FF/Popular,200,201,1001,100 FF,Hawk II,700,601,800,701,900,801,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,P477301,Sime sigma,Sime,220.4,"A replacement gas valve for Sime Ecomfort Plus, Super, Friendly, Ecomfort and Format appliances.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime sigma,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/01/477301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sime_Format_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,P421843,Ferroli fan,Ferroli,322.02,"A Ferroli branded spare, this fan is suitable for use in Optimax HE, Optimax HE Plus and Tech boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/43/421843_wm.jpg,,,N,"18 OV, 18 S, 38 C, 25 OV, 18 OV, 18 OV, 25 S, 31 C, 35 S, 25 OV, 31 C, 18 S, 38 C",Fan Combustion Chamber,39828060,Fan,N,Econcept TechOptimax HEOptimax HE Plus,725756,"38 C,25 S,35 S,31 C,18 OV,18 S,25 OV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,P477383,Sime pump,Sime,264.98,"This Sime pump is compatible with Ecomfort, Format, Ecomfort Plus and Murelle boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/83/477383_wm.jpg,,,N,"30 HE Combi, 110C, HE 25, HE 30, System HE 25, System HE 30, 30 HE Combi LPG, 100B, 80B, 25 HE, 30 HE, 35 HE, 30 HE +, HE 35, System HE 12, System HE 20, System HE 35",Pump,6135924,Pump,N,"Ecomfort, Format, Ecomfort Plus, Murelle",740587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,P422901,Ariston 571651-01 air pressure switch 75PA,Ariston,53.7,"This Ariston air pressure switch is a brand spare for euroCombi, Genus, microCombi, microSystem, Dia, Challenger, Excalibur and microGenus boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston 571651-01 air pressure switch 75PA,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/01/422901_wm.jpg,,,N,"A23 MFFI, A23 MFFI From SN 2320015700001, A27 MFFI, A27 MFFI From SN 2320015700001, SX 20 MFFI CE, 30 MFFI, 30 MFFI From SN 2320015700001, 27 MFFI, 21 RFFI, 28 RFFI, 24 MFFI CE, 27 RFFI, 80E, 100, 80, 23 MFFI, 23 MFFI LPG, 27 MFFI LPG, 23 RFFI, 23 RFFI L",Fan Combustion Chamber,571651-01,Pressure Switch,N,"euroCombi, Genus, microCombi, microSystem, Dia, Challenger, Excalibur, microGenus",E03818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,P430878,Extruflex stainless steel plate sets unit 300mm,Extruflex,1.7,"Made of stainless steel, this Extruflex 300mm plate set unit is suitable for both commercial and domestic use.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Extruflex stainless steel plate sets unit 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/78/NW-430878_wm.jpg,,,N,,,HSTPSSS0300NPU,Plate Set Unit,N,,,,,,,,,,,,,,,,,,,,,x  x,CommercialDomestic,,,,,,,,,,,,,,,,
668,P456343,Ravenheat safety relief valve 3bar,Ravenheat,17.88,"A Ravenheat safety relief valve for CSI, HE, Littlestar and RSF boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ravenheat safety relief valve 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/43/456343_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ravenheat_CSI85_CSI85-T_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
