,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Size,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Attachment 7
70,PF25165,Marley Solid Wall Drainage 30deg double socket bend 110mm,Marley,23.9,"Ideal for use in private drainage, this Marley Solid Wall Drainage 30° adoptable short radius bend in orange has 110mm push-fit connections. This fitting allows for a change of direction in an underground system.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 30deg double socket bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-F25165_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
71,PF25301,Marley riser inspection chamber 450mm,Marley,152.67,"Measuring 480mm, this Marley deep adoptable inspection chamber riser raises a 450mm inspection chamber up to ground level.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley riser inspection chamber 450mm,,Deep inspection chamber riser;1x 450mm seal,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/01/NW-F25301_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Marley_Underground_Drainage_Jul2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_UDrainage_System_Installation.pdf,,,,,,,,,,,,,,
72,PF25133,Marley Solid Wall Drainage 45degree double socket junction 110 x 110mm,Marley,35.13,"Ideal for use in private drainage, this Marley Solid Wall Drainage 45° adoptable equal branch tee in orange has 110mm socket x socket x spigot connections. This fitting is used to connect two underground systems together with the socketed branch reducing installation time and ensuring a reliably secure connection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 45degree double socket junction 110 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/33/NW-F25133_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
73,PF25175,Marley bottle gully 110mm,Marley,67.09,"Suitable for new or replacement installations, this Marley 110mm uPVC bottle gully allows for direct 110mm connections and waste pipe connections via boss adapters. The fully rotating body provides flexibility of orientation to suit the drain connection while a removable rubber plug provides convenient cleaning access.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley bottle gully 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/75/NW-F25175_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
74,PF25102,MLY 110MMX3M PE PIPE UL403,Marley,35.26,"Supplied in a 3M length, this orange Marley Solid Wall Drainage 110mm pipe with double spigot is suitable for private drainage applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> MLY 110MMX3M PE PIPE UL403,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/02/NW-F25101_F25102_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
75,PF25106,Marley PVC coupling 110mm,Marley,10.8,"A quick, simple jointing solution, this Marley Solid Wall Drainage 110mm adoptable PVC coupling is ideal for use in private drainage projects.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley PVC coupling 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/06/F25106_wm.jpg,Terracotta,,,0.21000,N,,,,,,,,UE406,,N,Lightweight and easy to handle,,,,,,,110mm,Push-fit connections,PVC construction,Orange colour,Meets BS EN 1401,,,,,
76,PF25200,Marley Solid Wall Drainage single socket pipe 160mm x 3mtr,Marley,105.48,"Supplied in a 3M length, this orange Marley Solid Wall Drainage 160mm adoptable pipe with push-fit socket is suitable for private drainage applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage single socket pipe 160mm x 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/00/NW-F25200_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
77,PF25145,Marley Solid Wall Drainage 87.5degree double socket junction 110 x 110mm,Marley,35.13,"Ideal for use in private drainage, this Marley Solid Wall Drainage 87.5° adoptable equal branch tee in orange has 110mm socket x socket x spigot connections. This fitting is used to connect two underground systems together with the socketed branch reducing installation time and ensuring a reliably secure connection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 87.5degree double socket junction 110 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/45/NW-F25145_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
78,PF25100,Marley Solid Wall Drainage single socket pipe 110mm 3mtr,Marley,41.4,"Supplied in a 3M length, this orange Marley Solid Wall Drainage 110mm adoptable pipe with push-fit socket is suitable for private drainage applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage single socket pipe 110mm 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/00/NW-F25100_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
79,PF25121,Marley Solid Wall Drainage 45degree single socket bend 110mm,Marley,21.74,"Suitable for private drainage applications, this Marley Solid Wall Drainage 45° adoptable short radius bend in orange is supplied with 110mm socket x spigot connections. This fitting is used to change the direction of underground systems.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 45degree single socket bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/63/NW-F25121_F25263_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
80,PF25107,Marley Solid Wall Drainage coupling 110mm,Marley,7.67,"Ideal for private drainage, this Marley Solid Wall Drainage 110mm adoptable push-fit straight coupling in orange joins two pipes together for easier connections.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage coupling 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/07/NW-F25107_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
81,PF25103,Marley Solid Wall Drainage single socket pipe 110mm x 6mtr,Marley,76.6,"Supplied in a 6M length, this orange Marley Solid Wall Drainage 110mm adoptable pipe with push-fit socket is suitable for private drainage applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage single socket pipe 110mm x 6mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/03/NW-F25103_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
82,PF25112,Marley Solid Wall Drainage 87.5deg bend 110 mm Plastic Orange,Marley,26.35,"Ideal for use in private drainage, this Marley Solid Wall Drainage 87.5° adaptoble short radius bend in orange has 110mm socket x spigot connections. This fitting allows for a change of direction in an underground system.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 87.5deg bend 110 mm Plastic Orange,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/12/NW-F25112_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
83,PF25115,Marley Solid Wall Drainage 87.5degree double socket long radial bend 110mm,Marley,43.0,"Suitable for private drainage applications, this Marley Solid Wall Drainage 87.5° adoptable short radius bend in orange is supplied with 110mm socket connections. This fitting is used to change the direction of underground systems.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 87.5degree double socket long radial bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/15/NW-F25115_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
84,PF25116,Marley Solid Wall Drainage 87.5degree double socket bend 110mm,Marley,26.4,"Suitable for private drainage applications, this Marley Solid Wall Drainage 87.5° adoptable short radius bend in orange is supplied with 110mm push-fit connections. This fitting is used to change the direction of underground systems.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 87.5degree double socket bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/16/NW-F25116_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
85,PF25144,Marley Solid Wall Drainage 87.5degree triple socket junction 110 x 110mm,Marley,36.45,"Ideal for use in private drainage, this Marley Solid Wall Drainage 87.5° adoptable equal branch tee in orange has 110mm socket x socket x socket connections. This fitting is used to connect two underground systems together with the socketed branch reducing installation time and ensuring a reliably secure connection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 87.5degree triple socket junction 110 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/44/NW-F25144_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
