,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Feature 7,Feature 8,Feature 9,Pack Quantity,Depth (mm),Feature 10,Feature 11,Feature 12,Attachment 4,Finish,Weight
93,PC01023,Masefield Torbeck height adjustable bottom inlet valve,Masefield,24.18,"Easy to install, this Masefield Torbeck quiet filling bottom inlet telescopic part 4 float valve has a brass tail to prevent cross-threading.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Torbeck height adjustable bottom inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/23/NW-C01023_wm.jpg,,,,N,367049,Float Valve,N,Equilibrium quiet filling,Reduces water hammer,"1/2"" brass tail",Anti back siphon design prevents contamination of fresh water supply,Fits most cisterns,Manufactured in the UK,Torbeck,,,,,,,,,,Approved to BS 1212 part 4,,,,,,,,,,
94,PB98330,Thomas Dudley Tri-Shell Turbo cistern comes with PT2 brass ball valve,Thomas Dudley,180.83,"Built for durability, the Thomas Dudley Tri-Shell Turbo bottom supply outlet low level cistern is ideal for high traffic areas. This cistern is supplied with a duo flush siphon for full and reduced flushing in low level installations.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Tri-Shell Turbo cistern comes with PT2 brass ball valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/30/B98330_wm.jpg,,,,N,PTSWHB319113,Cistern,N,Lid held securely in place with metal screws,Strong metal lever or chain pull,Durable high gloss finish,Internal/external overflow warning pipe,Suitable for low level installations,,Tri-Shell Turbo,,,,,,,,,,,,,,,,,,,,
95,P402282,Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1),Thomas Dudley,0.61,An easy to install Thomas Dudley diaphragm washer for a Turbo 88 siphon.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/82/NW-402282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Thomas_Dudley_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PB97937,"Wirquin Metro Rapid 3-part oblong siphon 8""",Wirquin,16.49,This Wirquin Metro Rapid oblong siphon includes an easy to remove upper section for straightforward maintenance and replacement with no need to remove the toilet cistern.,"Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Wirquin Metro Rapid 3-part oblong siphon 8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/37/NW-B97937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wirquin_Metro_Rapid_Siphon_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PB97908,"Masefield Epson standard low level flushpipe 24 x 24"" White",Masefield,3.68,"A Masefield 24 x 24"" standard low-level white PVC flush pipe.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Epson standard low level flushpipe 24 x 24"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/08/NW-B97906_B97908_wm.jpg,,,,N,PTOBEN363703,Flush Pipe,N,High quality white PVC,"24 x 24"" size",,,,,Epson,,,,,,,,,,,,,,,,,,,,
98,PB00306,Viva Sanitary medium slinky-fit WC pan connector,Viva Sanitary,15.5,"The ultra-flexible Viva Sanitary medium slinky-fit flexible toilet pan connector is wire reinforced for unbeatable strength and stability. With the incorporated Smart-Flo design extension tube sediment build-up is prevented, reducing the risk of blockages.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Viva Sanitary medium slinky-fit WC pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/06/B00306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viva_Sanitary_PP0002_A_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viva_Sanitary_PP0002_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PC30661,Ideal Standard extended lever spindle 400mm Chrome Plated,Ideal Standard,77.57,This Ideal standard 400mm extended lever has a chrome-plated finish. It is suitable for use with Conceala cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard extended lever spindle 400mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/61/C30661_wm.jpg,,,,N,S4492AA,Extended Lever,N,For use with Conceala cisterns,Chrome finish,,,,,,,,,,,,,,,,,,,,,,,,,
100,PB92103,Thomas Dudley Turbo 88 high two part syphon 6-9litre 8inch,Thomas Dudley,23.9,"This Thomas Dudley Turbo 88 high 8"" two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9litre 8inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PD32504,Ideal Standard magnet valve without housing,Ideal Standard,70.98,This Ideal standard magnet valve is provided without housing.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard magnet valve without housing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/04/NW-D32504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PB92193,Thomas Dudley Hydroflo telescopic botton inlet valve,Thomas Dudley,18.94,This Thomas Dudley Hydroflo telescopic bottom inlet valve is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Hydroflo telescopic botton inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/93/NW-B92193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PB92102,"Thomas Dudley Turbo 88 high two part syphon 6-9litre 7.5""",Thomas Dudley,23.9,"This Thomas Dudley Turbo 88 high 7.5"" two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9litre 7.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PN66494,"Ideal Standard i.Life S toilet seat and cover, compact, standard close",Ideal Standard,66.25,"Designed to fit i.Life A and S toilet bowls, this Ideal Standard i.Life S toilet seat and cover has a smart compact design to suit smaller toilets in bathrooms with less square footage. Square-shaped, this neat loo seat and lid is fitted using the supplied bottom fix hinge.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard i.Life S toilet seat and cover, compact, standard close",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/95/N66494_N66495_wm.jpg,,,,N,T532801,Toilet Seat,N,For i.Life A and S WC bowls,Standard close,With cover,Bottom fix hinge,Plastic construction,White finish,i.Life S,,,,,,,,,,,,,,,,,,,,
105,PD00230,Siamp Optima 50 replacement cable,Siamp,18.14,The Siamp Optima 50 flush valve and 470mm push button extension connecting cable includes connection blocks.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Optima 50 replacement cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/30/NW-D00230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PB00307,Viva Sanitary slinky-fit WC pan connector,Viva Sanitary,19.65,"The ultra-flexible Viva Sanitary 90° flexible toilet pan connector is wire reinforced for unbeatable strength and stability. With the incorporated Smart-Flo design extension tube sediment build-up is prevented, reducing the risk of blockages.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Viva Sanitary slinky-fit WC pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/07/B00307_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viva_Sanitary_PP0002_B_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viva_Sanitary_PP0002_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PD08203,Roca In-Wall Duplo roca duplo wc l ag (dn90+dn100),Roca,214.86,"Measuring 1020 x 500 x 260mm, this Roca In-Wall Duplo WC L toilet system with AG valve (under window), 820mm concealed cistern and frame is suitable for wall-hung WCs.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca In-Wall Duplo roca duplo wc l ag (dn90+dn100),,Toilet system;AG valve;Cistern;Frame,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/03/NW-D08203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D08203_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D08203_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PD58960,Roca A8900960W1 in-wall dual flush plate Chrome,Roca,41.76,"Compatible with a variety of cisterns, this Roca chrome dual flush plate with two buttons is suitable for in-wall installation along with an installation frame.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca A8900960W1 in-wall dual flush plate Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/60/D58960_wm.jpg,,,,N,A8900960W1,Dual Flush Plate,N,For use with concealed cisterns,For in-wall installation,Two buttons for dual flush,"Suitable for Roca Duplo, Duplo Compact, Basic Compact and Basic Tank Compact frames",Chrome finish,,,,,,,,,,,,,,,,,,,,,,
109,P171886,"Fluidmaster Airgap 6000 bottom entry delayed plastic shanked fill valve 1/2""",Fluidmaster,19.23,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with plastic shank, bottom entry and delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 bottom entry delayed plastic shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/86/NW-171886_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PB90450,Thomas Dudley Phantom concealed side inlet cistern excluding lever,Thomas Dudley,103.35,The water saving Thomas Dudley Phantom concealed cistern with side inlet and outlet includes a Turbo 88 duo flush siphon for full and reduced flushing options. The Phantom's high impact polystyrene build is robust and suitable for low level concealed installations.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Phantom concealed side inlet cistern excluding lever,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/50/B90450_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Mirage_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PN66495,"Ideal Standard i.Life S toilet seat and cover, compact, slow close",Ideal Standard,89.44,"Designed to fit i.Life A and S toilet bowls, this Ideal Standard i.Life S toilet seat and cover has a smart compact design to suit smaller toilets in bathrooms with less square footage. Square-shaped, this neat loo seat and lid has a soft close mechanism so it won't slam or trap fingers.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard i.Life S toilet seat and cover, compact, slow close",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/95/N66494_N66495_wm.jpg,,,,N,T532901,Toilet Seat,N,For i.Life A and S WC bowls,Soft close,With cover,Bottom fix hinge,Plastic construction,White finish,i.Life S,,,,,,,,,,,,,,,,,,,,
112,PD58959,Roca A8900950W1 in-wall dual flush plate Chrome,Roca,41.76,"Designed for use with concealed toilet cisterns, this Roca chrome finish dual flush plate is intended for neat in-wall installation.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca A8900950W1 in-wall dual flush plate Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/59/D58959_wm.jpg,,,,N,A8900950W1,Dual Flush Plate,N,Two buttons for dual flush,Suitable for use in public bathrooms,Chrome finish,For use on concealed cisterns,For in-wall installation,,,,,,,,,,,,,,,,,,,,,,
113,PD08204,Roca In-Wall roca basic tank compact ag,Roca,99.4,"The Roca In-Wall basic tank with AG valve (80mm cistern) concealed cistern is suitable for use with back-to-wall WCs. Highly efficient, this in-wall cistern measures a neat 680 x 480 x 78mm and offers a dual flush mechanism.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca In-Wall roca basic tank compact ag,,Basic tank;AG valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/04/NW-D08204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D08204_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_Basic_Tank_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D08204_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PC60937,Twyford fixings for wall hung WC and bidet,Twyford,13.45,These Twyford fixings are for the fitting of wall-hung toilets and bidets.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Twyford fixings for wall hung WC and bidet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/37/C60937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ForLifeBathrooms_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
